Name,Province,Country,Continent,Population rank (core city),Population rank (Primary Statistical Area),Distance to closest larger Chinese Metropolitan Area (KM),Power,Population MetropolitanArea,Population MetroPower,Rolling population total,Rolling % of Population Total,GDP per capita of Province,Distance from a foreign country (KM),Country population,Percent of country's population,Score,"If part of a larger city's transportation, city name",Closest City Name,Closest City Rank,Largest in Province?,Latitude,Longitude
Zhengzhou,Henan,China,Asia,,89,370,4.16,"4,867,388","1,800,933,560","586,899,762",14.09%,,,1387990000,,,,Jinan,,,34.75,113.6666
Fuzhou,Fujian,China,Asia,,96,200,2.08,"4,468,076","893,615,200","591,767,150",14.21%,,,1387990000,,,,Quanzhou,,,26.1,119.2
Nanchang,Jiangxi,China,Asia,,104,300,2.88,"4,107,962","1,232,388,600","596,235,226",14.32%,,,1387990000,,,,Changsha,,,28.666,115.9
Dalian,Liaoning,China,Asia,,108,390,3.61,"4,087,733","1,594,215,870","600,343,188",14.42%,,,1387990000,,,,Shenyang,,,38.9,121.5
Taiyuan,Shanxi,China,Asia,,110,437,3.97,"4,062,173","1,775,169,601","604,430,921",14.51%,,,1387990000,,,,Zhengzhou,,Yes,37.9,112.5
Shijiazhuang,Hebei,China,Asia,,114,260,2.28,"3,995,290","1,038,775,400","608,493,094",14.61%,,,1387990000,,,,Tianjin,,Yes,38.1,114.5
Kunming,Yunnan,China,Asia,,127,700,5.51,"3,583,429","2,508,400,300","612,488,384",14.71%,,,1387990000,,,,Yunnan,,Yes,24.9,102.8
Wuxi,Jiangsu,China,Asia,,129,120,0.93,"3,542,319","425,078,280","616,071,813",14.79%,,,1387990000,,,,Shanghai,,,31.5,120.3333
Xiamen,Fujian,China,Asia,,131,100,0.76,"3,531,347","353,134,700","619,614,132",14.88%,,,1387990000,,,,Quanzhou,,,24.5,118
Changchun,Jilin,China,Asia,,132,240,1.82,"3,530,115","847,227,600","623,145,479",14.96%,,,1387990000,,,,Harbin,,Yes,43.9,125.25
Ningbo,Zhejiang,China,Asia,,137,150,1.09,"3,491,597","523,739,550","626,675,594",15.05%,,,1387990000,,,,Hangzhou,,,29.9,121.5
Zibo,Shandong,China,Asia,,139,100,0.72,"3,484,800","348,480,000","630,167,191",15.13%,,,1387990000,,,,Jinan,,,36.8,118
Hefei,Anhui,China,Asia,,142,150,1.06,"3,352,076","502,811,400","633,651,991",15.22%,,,1387990000,,,,Nanjing,,Yes,31.8,117.25
Changzhou,Jiangsu,China,Asia,,144,130,0.90,"3,290,548","427,771,240","637,004,067",15.30%,,,1387990000,,,,Nanjing,,,31.8,120
Taizhou,Zhejiang,China,Asia,,146,130,0.89,"3,269,300","425,009,000","640,294,615",15.38%,,,1387990000,,,,Wenzhou,,,28.666667,121.45
Tangshan,Hebei,China,Asia,,150,120,0.80,"3,187,171","382,460,520","643,563,915",15.45%,,,1387990000,,,,Tianjin,,,39.6,118.25
Nantong,Jiangsu,China,Asia,,152,100,0.66,"3,180,924","318,092,400","646,751,086",15.53%,,,1387990000,,,,Changzhou,,,31.8,120
Nanning,Guangxi,China,Asia,,153,500,3.27,"3,177,450","1,588,725,000","640,294,615",15.38%,,,1387990000,,,,Guangzhou,,Yes,22.8,108.3333
Guiyang,Guizhou,China,Asia,,160,320,2.00,"3,037,159","971,890,880","643,563,915",15.45%,,,1387990000,,,,Chongqing,,Yes,26.6,106.6
Urumqi,Xinjiang,China,Asia,,162,2550,15.74,"2,988,715","7,621,223,250","656,146,619",15.76%,,,1387990000,,,,Xi'an,,Yes,43.8,87.55
Huai'an,Jiangsu,China,Asia,,185,,0.00,"2,633,420",0,"659,135,334",15.83%,,,1387990000,,,,,,,33.5,119
Xuzhou,Jiangsu,China,Asia,,186,,0.00,"2,623,066",0,"661,768,754",15.89%,,,1387990000,,,,,,,34.15,117.25
Linyi,Shandong,China,Asia,,187,,0.00,"2,600,200",0,"664,391,820",15.95%,,,1387990000,,,,,,,35.1,118.34
Lanzhou,Gansu,China,Asia,,196,,0.00,"2,492,325",0,"664,391,820",15.95%,,,1387990000,,,,,,Yes,36.1,103.85
Yangzhou,Jiangsu,China,Asia,,207,,0.00,"2,399,079",0,"669,484,345",16.08%,,,1387990000,,,,,,,32.33,119.45
Anshan,Liaoning,China,Asia,,218,,0.00,"2,242,436",0,"671,883,424",16.13%,,,1387990000,,,,,,,41.1,123
Huaibei,Anhui,China,Asia,,233,,0.00,"2,114,276",0,"674,125,860",16.19%,,,1387990000,,,,,,,34,116.75
Haikou,Hainan,China,Asia,,242,,0.00,"2,046,189",0,"676,240,136",16.24%,,,1387990000,,,,,,Yes,20,110.15
Yiwu,Zhejiang,China,Asia,,243,120,0.49,"2,038,400","244,608,000","678,286,325",16.29%,,,1387990000,,,,,,,29.25,120
Baotou,Inner Mongolia,China,Asia,,245,,0.00,"2,034,996",0,"680,324,725",16.34%,,,1387990000,,,,,,Yes,40.6,109.85
Liuzhou,Guangxi,China,Asia,,251,,0.00,"1,998,950",0,"682,359,721",16.39%,,,1387990000,,,,,,,24.3333,109.4
Anyang,Henan,China,Asia,,253,,0.00,"1,995,760",0,"684,358,671",16.43%,,,1387990000,,,,,,Yes,36.1,114.4
Hohhot,Inner Mongolia,China,Asia,,256,,0.00,"1,980,774",0,"686,354,431",16.48%,,,1387990000,,,,,,,40.8,111.75
Jilin City,Jilin,China,Asia,,259,,0.00,"1,975,803",0,"688,335,205",16.53%,,,1387990000,,,,,,,43.85,126.5
Putian,Fujian,China,Asia,,261,,0.00,"1,953,801",0,"690,311,008",16.58%,,,1387990000,,,,,,,25.4,119
Huainan,Anhui,China,Asia,,263,,0.00,"1,938,212",0,"692,264,809",16.62%,,,1387990000,,,,,,,32.6,117
Xiangtan,Hunan,China,Asia,,275,50,0.18,"1,875,300","93,765,000","694,203,021",16.67%,,,1387990000,,,,Changsha,,,27.85,113
Yantai,Shandong,China,Asia,,276,,0.00,"1,870,600",0,"696,078,321",16.72%,,,1387990000,,,,,,,37.5,121.5
Nanchong,Sichuan,China,Asia,,277,,0.00,"1,868,875",0,"697,948,921",16.76%,,,1387990000,,,,,,,30.8,106.1
Luoyang,Henan,China,Asia,,280,,0.00,"1,856,877",0,"699,817,796",16.81%,,,1387990000,,,,,,,34.6,112.5
Nanyang,Henan,China,Asia,,287,,0.00,"1,811,732",0,"701,674,673",16.85%,,,1387990000,,,,,,,33,112.5
Baoding,Hebei,China,Asia,,,,,"1,789,550",,"703,486,405",16.89%,,,1387990000,,,,,,,40.3333,109.85
Fuyang,Anhui,China,Asia,,,,,"1,768,947",,"705,275,955",16.94%,,,1387990000,,,,,,,32.9,115.8
Tai'an,Shandong,China,Asia,,,,,"1,735,500",,"707,044,902",16.98%,,,1387990000,,,,,,,36.2,117.1
Suzhou,Anhui,China,Asia,,,,,"1,647,642",,"708,780,402",17.02%,,,1387990000,,,,,,,31.25,120.6
Lu'an,Anhui,China,Asia,,,,,"1,644,344",,"710,428,044",17.06%,,,1387990000,,,,,,,31.75,116.5
Datong,Shanxi,China,Asia,,,,,"1,629,035",,"712,072,388",17.10%,,,1387990000,,,,,,,40.06,113.3
