"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BE001","Brussels","POP","Total population of the metropolitan area (persons)","2005","2005","PER","Persons","0","Units",,,2364615,,
"BE001","Brussels","POP","Total population of the metropolitan area (persons)","2006","2006","PER","Persons","0","Units",,,2388156,,
"BE001","Brussels","POP","Total population of the metropolitan area (persons)","2007","2007","PER","Persons","0","Units",,,2412004,,
"BE001","Brussels","POP","Total population of the metropolitan area (persons)","2008","2008","PER","Persons","0","Units",,,2436174,,
"BE001","Brussels","POP","Total population of the metropolitan area (persons)","2009","2009","PER","Persons","0","Units",,,2460663,,
"BE001","Brussels","POP","Total population of the metropolitan area (persons)","2010","2010","PER","Persons","0","Units",,,2485480,,
"BE001","Brussels","POP","Total population of the metropolitan area (persons)","2011","2011","PER","Persons","0","Units",,,2510626,,
"BE001","Brussels","POP","Total population of the metropolitan area (persons)","2012","2012","PER","Persons","0","Units",,,2536106,,
"BE001","Brussels","POP","Total population of the metropolitan area (persons)","2013","2013","PER","Persons","0","Units",,,2561930,,
"BE001","Brussels","POP","Total population of the metropolitan area (persons)","2014","2014","PER","Persons","0","Units",,,2588102,,
"BE001","Brussels","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2000","2000","PC","Percentage","0","Units",,,21.99,,
"BE001","Brussels","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2001","2001","PC","Percentage","0","Units",,,22.15,,
"BE001","Brussels","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2002","2002","PC","Percentage","0","Units",,,22.27,,
"BE001","Brussels","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2003","2003","PC","Percentage","0","Units",,,22.39,,
"BE001","Brussels","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2004","2004","PC","Percentage","0","Units",,,22.52,,
"BE001","Brussels","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2005","2005","PC","Percentage","0","Units",,,22.64,,
"BE001","Brussels","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2006","2006","PC","Percentage","0","Units",,,22.72,,
"BE001","Brussels","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2007","2007","PC","Percentage","0","Units",,,22.79,,
"BE001","Brussels","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2008","2008","PC","Percentage","0","Units",,,22.84,,
"BE001","Brussels","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2009","2009","PC","Percentage","0","Units",,,22.88,,
"BE001","Brussels","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2010","2010","PC","Percentage","0","Units",,,22.93,,
"BE001","Brussels","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2011","2011","PC","Percentage","0","Units",,,22.93,,
"BE001","Brussels","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2012","2012","PC","Percentage","0","Units",,,22.98,,
"BE001","Brussels","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2013","2013","PC","Percentage","0","Units",,,23.08,,
"BE001","Brussels","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2014","2014","PC","Percentage","0","Units",,,23.1,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2000","2000","RATIO","Ratio","0","Units",,,689.41,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2001","2001","RATIO","Ratio","0","Units",,,696.17,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2002","2002","RATIO","Ratio","0","Units",,,703.01,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2003","2003","RATIO","Ratio","0","Units",,,709.94,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2004","2004","RATIO","Ratio","0","Units",,,716.96,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2005","2005","RATIO","Ratio","0","Units",,,724.08,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2006","2006","RATIO","Ratio","0","Units",,,731.28,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2007","2007","RATIO","Ratio","0","Units",,,738.59,,
"BE001","Brussels","POP_DENS","Population density (persons per km2)","2008","2008","RATIO","Ratio","0","Units",,,745.99,,
